Citance Number: 1 | Reference Article:  D10-1083.txt | Citing Article:  D11-1056.txt | Citation Marker Offset:  ['264'] | Citation Marker:  2010 | Citation Offset:  ['263','264'] | Citation Text:  <S sid ="263" ssid = "44">Following Lee et al.</S><S sid ="264" ssid = "45">(2010), we report the best and median settings of hyperparameters based on the F- score, in addition to inferred values.</S> | Reference Offset:  ['99'] | Reference Text:  <S sid ="99" ssid = "4">TheFigure 2: Graph of the one-to-one accuracy of our full model (+FEATS) under the best hyperparameter setting by iteration</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |
Citance Number: 18 | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['25'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['25'] | Citation Text:  <S sid ="25" ssid = "11">Feature Template Description f) in(str, subword-list) is str in subword list g) in(str, confident-word-list) is str in confident-word list Table 2: Subword Features for CRF-based Segmenter dure for constructing a subword list is similar to the one used in (Zhang et al., 2006).</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">In this work we propose a subword-based IOB tagging, which assigns tags to a predefined lexicon subset consisting of the most frequent multiple-character words in addition to single Chinese characters.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 19 | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['30'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['30'] | Citation Text:  <S sid ="30" ssid = "16">See the details of subword-based Chinese word segmentation in (Zhang et al., 2006)</S> | Reference Offset:  ['8','9'] | Reference Text:  <S sid ="8" ssid = "8">In this work we propose a subword-based IOB tagging, which assigns tags to a predefined lexicon subset consisting of the most frequent multiple-character words in addition to single Chinese characters.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 20 | Reference Article:  N06-2049.xml | Citing Article:  W10-4138.xml | Citation Marker Offset:  ['22'] | Citation Marker:  2006 | Citation Offset:  ['21','22','23'] | Citation Text:  <S sid ="21" ssid = "14">Thus, the bigram â€œRAIL ENQUIRIESâ€ gives a misleading probability that â€œRAILâ€ is followed by â€œENQUIRIESâ€ irrespective of what precedes it.</S><S sid ="22" ssid = "15">This problem happens not only with word-token corpora but also with corpora in which all the compounds are tagged as units since overlapping N- grams still appear, therefore corresponding solutions such as those of Zhang et al.</S><S sid ="23" ssid = "16">(2006) were proposed.</S> | Reference Offset:  ['38','39'] | Reference Text:  <S sid ="38" ssid = "16">For a character-based IOB tagger, there is only one possibility of re-segmentation.</S><S sid ="39" ssid = "17">However, there are multiple choices for a subword-based IOB tagger.</S> | Discourse Facet:  Implication_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 1 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['13'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">Two examples of such corpora are the RST Tree Corpus by (Marcu et al., 1999) for English and the Potsdam Commentary Corpus (Stede, 2004) for German.</S> | Reference Offset:  ['6'] | Reference Text:  <S sid ="6" ssid = "6">At present, the â€˜Potsdam Commentary Corpusâ€™ (henceforth â€˜PCCâ€™ for short) consists of 170 commentaries from MaÂ¨rkische Allgemeine Zeitung, a German regional daily.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 2 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['32'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['32'] | Citation Text:  <S sid ="32" ssid = "14">However, when we trained two (experienced) students to annotate the 171 newspaper commentaries of the Potsdam Commentary Corpus (Stede, 2004) and upon completion of the task asked them about their experiences, a very different picture emerged.</S> | Reference Offset:  ['3'] | Reference Text:  <S sid ="3" ssid = "3">A corpus of German newspaper commentaries has been assembled at Potsdam University, and annotated with different linguistic information, to different degrees.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 3 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['47'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "2">Annotators have to also make syntactic judgements, which is not the case in our approach (where syntax would be done on a different annotation layer, see (Stede, 2004)).</S> | Reference Offset:  ['17','18','113'] | Reference Text:  <S sid ="17" ssid = "1">The corpus has been annotated with six different types of information, which are characterized in the following subsections.</S><S sid ="18" ssid = "2">Not all the layers have been produced for all the texts yet.</S><S sid ="113" ssid = "10">Thus it is possible, for illustration, to look for a noun phrase (syntax tier) marked as topic (information structure tier) that is in a bridging relation (co-reference tier) to some other noun phrase.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 4 | Reference Article:  W04-0213.txt | Citing Article:  C08-2009.txt | Citation Marker Offset:  ['4'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['4'] | Citation Text:  <S sid ="4" ssid = "4">Discourse structures cannot always be described completely, either because they are ambiguous (Stede, 2004), or because a discourse parser fails to analyse them completely.</S> | Reference Offset:  ['68'] | Reference Text:  <S sid ="68" ssid = "52">For the â€˜coreâ€™ portion of PCC, we found that on average, 35% of the coherence relations in our RST annotations are explicitly signalled by a lexical connective.6 When adding the fact that connectives are often ambiguous, one has to conclude that prospects for an automatic analysis of rhetorical structure using shallow methods (i.e., relying largely on connectives) are not bright â€” but see Sections 3.2 and 3.3 below.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 5 | Reference Article:  W04-0213.txt | Citing Article:  P06-3008.txt | Citation Marker Offset:  ['22'] | Citation Marker:  Stede 2004 | Citation Offset:  ['22'] | Citation Text:  <S sid ="22" ssid = "2">For the purpose of language engineering and linguistic investigation, we are constructing a Chinese corpus comparable to the English WSJRST treebank and the German Potsdam Commentary Corpus (Carlson et al. 2003; Stede 2004).</S> | Reference Offset:  ['3'] | Reference Text:  <S sid ="3" ssid = "3">A corpus of German newspaper commentaries has been assembled at Potsdam University, and annotated with different linguistic information, to different degrees.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 6 | Reference Article:  W04-0213.txt | Citing Article:  P08-2062.txt | Citation Marker Offset:  ['3'] | Citation Marker:  (Stede, 2004) | Citation Offset:  ['3','4'] | Citation Text:  <S sid ="3" ssid = "3">Discourse processing has emerged as a highly relevant source of information for applications such as information extraction and automatic summarisation (Taboada and Mann (2006) outline this and further applications).</S><S sid ="4" ssid = "4">But discourse structures cannot always be described completely, either due to genuine ambiguity (Stede, 2004) or to the limitations of a discourse parser.</S> | Reference Offset:  ['42'] | Reference Text:  <S sid ="42" ssid = "26">We follow the guidelines developed in the TIGER project (Brants et al. 2002) for syntactic annotation of German newspaper text, using the Annotate3 tool for interactive construction of tree structures.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 7 | Reference Article:  W04-0213.txt | Citing Article:  P08-2062.txt | Citation Marker Offset:  ['15'] | Citation Marker:  2004 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "1">Following annotation schemes like the one of Stede (2004), we model discourse structures by binary trees.</S> | Reference Offset:  ['125'] | Reference Text:  <S sid ="125" ssid = "22">That is, we can use the discourse parser on PCC texts, emulating for instance a â€œco-reference oracleâ€ that adds the information from our co-reference annotations.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 8 | Reference Article:  W04-0213.txt | Citing Article:  W06-2709.txt | Citation Marker Offset:  ['72'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['72'] | Citation Text:  <S sid ="72" ssid = "9">Discourse studies The Potsdam Commentary Corpus, PCC (Stede, 2004), consists of 173 newspaper commentaries, annotated for morphosyn- tax, coreference, discourse structure according to Rhetorical Structure Theory, and information structure.</S> | Reference Offset:  ['5','6','7'] | Reference Text:  <S sid ="5" ssid = "5">This paper, however, provides a comprehensive overview of the data collection effort and its current state.</S><S sid ="6" ssid = "6">At present, the â€˜Potsdam Commentary Corpusâ€™ (henceforth â€˜PCCâ€™ for short) consists of 170 commentaries from MaÂ¨rkische Allgemeine Zeitung, a German regional daily.</S><S sid ="7" ssid = "7">The choice of the genre commentary resulted from the fact that an investigation of rhetorical structure, its interaction with other aspects of discourse structure, and the prospects for its automatic derivation are the key motivations for building up the corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 9 | Reference Article:  W04-0213.txt | Citing Article:  W07-1525.txt | Citation Marker Offset:  ['170'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['170'] | Citation Text:  <S sid ="170" ssid = "1">The original annotation guidelines were drafted in 2004 by the authors for the annotation of the Potsdam Commentary Corpus of German newspaper commentaries (PCC) (Stede, 2004)</S> | Reference Offset:  ['3'] | Reference Text:  <S sid ="3" ssid = "3">A corpus of German newspaper commentaries has been assembled at Potsdam University, and annotated with different linguistic information, to different degrees.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 10 | Reference Article:  W04-0213.txt | Citing Article:  W07-1530.txt | Citation Marker Offset:  ['29'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['29','30'] | Citation Text:  <S sid ="29" ssid = "10">The PCC176 (Stede, 2004) is a sub-corpus that is available upon request for research purposes.</S><S sid ="30" ssid = "11">It consists of 176 relatively short commentaries (12 15 sentences), with 33.000 tokens in total.</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid ="3" ssid = "3">A corpus of German newspaper commentaries has been assembled at Potsdam University, and annotated with different linguistic information, to different degrees.</S><S sid ="4" ssid = "4">Two aspects of the corpus have been presented in previous papers ((Re- itter, Stede 2003) on underspecified rhetorical structure; (Stede 2003) on the perspective of knowledge-based summarization).</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 11 | Reference Article:  W04-0213.txt | Citing Article:  W07-1530.txt | Citation Marker Offset:  ['40'] | Citation Marker:  Manfred Stede, Potsdam | Citation Offset:  ['40'] | Citation Text:  <S sid ="40" ssid = "1">(Manfred Stede, Potsdam) Construction of the Potsdam Commentary Corpus (PCC) began in 2003 and is still ongoing.</S> | Reference Offset:  ['2', '6'] | Reference Text:  <S sid ="2" ssid = "2">The paper explains the design decisions taken in the annotations, and describes a number of applications using this corpus with its multi-layer annotation.</S><S sid ="6" ssid = "6">At present, the â€˜Potsdam Commentary Corpusâ€™ (henceforth â€˜PCCâ€™ for short) consists of 170 commentaries from MaÂ¨rkische Allgemeine Zeitung, a German regional daily.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |
Citance Number: 12 | Reference Article:  W04-0213.txt | Citing Article:  W11-0401.txt | Citation Marker Offset:  ['42'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['42','43','44','45','48','49'] | Citation Text:  <S sid ="42" ssid = "11">Another well-known corpus is the Potsdam Commentary Corpus, for German (Stede, 2004; Reitter and Stede, 2003).</S><S sid ="43" ssid = "12">This corpus includes 173 texts on politics from the online newspaper MÃ¤rkische Allgemeine Zeitung.</S><S sid ="44" ssid = "13">It contains 32,962 words and 2,195 sentences.</S><S sid ="45" ssid = "14">It is annotated with several data: morphology, syntax, rhetorical structure, connectors, correference and informative structure.</S><S sid ="48" ssid = "17">This corpus has several advantages: it is annotated at different levels (the annotation of connectors is especially interesting); all the texts were annotated by two people (with a previous RST training phase); it is free for research purposes, and there is a tool for searching over the corpus (although it is not available online).</S><S sid ="49" ssid = "18">The disadvantages are: the genre and domain of all the texts are the same, the methodology of annotation was quite intuitive (without a manual or specific criteria) and the inter-annotator agreement is not given.</S> | Reference Offset:  ['6','17','18','68'] | Reference Text:  <S sid ="6" ssid = "6">At present, the â€˜Potsdam Commentary Corpusâ€™ (henceforth â€˜PCCâ€™ for short) consists of 170 commentaries from MaÂ¨rkische Allgemeine Zeitung, a German regional daily.</S><S sid ="17" ssid = "1">The corpus has been annotated with six different types of information, which are characterized in the following subsections.</S><S sid ="18" ssid = "2">Not all the layers have been produced for all the texts yet.</S><S sid ="68" ssid = "52">For the â€˜coreâ€™ portion of PCC, we found that on average, 35% of the coherence relations in our RST annotations are explicitly signalled by a lexical connective.6 When adding the fact that connectives are often ambiguous, one has to conclude that prospects for an automatic analysis of rhetorical structure using shallow methods (i.e., relying largely on connectives) are not bright â€” but see Sections 3.2 and 3.3 below.</S> | Discourse Facet:  ['Method_Citation','Implication_Citation'] | Annotator:  Aakansha Gehlot |
